Loss,Accuracy,Precision,Recall,AUC,F1 Score,model,vectoriser
0.5926986336708069,0.7067757248878479,0.7237635850906372,0.6872852444648743,0.7384958267211914,0.7050528969581958,CNN,count
0.6533616781234741,0.6156542301177979,0.6054955720901489,0.7067583203315735,0.6616670489311218,0.6522198729529254,CNN,tfidf
0.21700583398342133,0.9141355156898499,0.9087837934494019,0.9243986010551453,0.9733654260635376,0.9165246948089555,CNN,word2vec
0.5989595055580139,0.7050233483314514,0.7243902683258057,0.6804123520851135,0.7397893667221069,0.7017129369461943,LSTM,count
0.6871287226676941,0.5210280418395996,0.5156897306442261,0.9977090358734131,0.6671411395072937,0.6799375225536424,LSTM,tfidf
0.24244287610054016,0.9082943797111511,0.8960176706314087,0.9278350472450256,0.9718846678733826,0.9116488295509343,LSTM,word2vec
0.693507969379425,0.509929895401001,0.509929895401001,1.0,0.5,0.6754351933214434,LSTM+CNN,count
0.6935132741928101,0.509929895401001,0.509929895401001,1.0,0.5,0.6754351933214434,LSTM+CNN,tfidf
0.20486988127231598,0.9188084006309509,0.9132882952690125,0.9289805293083191,0.9772652387619019,0.9210675799659723,LSTM+CNN,word2vec
0.5016312320307593,0.8335280373831776,0.9005449591280654,0.7571592210767468,0.9129657162907351,0.822650902302427,xgb,count
0.5024907841895506,0.8376168224299065,0.9025710419485792,0.7640320733104238,0.9117144312148184,0.8275434243176178,xgb,tfidf
0.5564570669955182,0.7716121495327103,0.7695749440715883,0.7880870561282932,0.8468346515174477,0.7787209960384832,xgb,word2vec
0.24055165971084033,0.923481308411215,0.9313953488372093,0.9175257731958762,0.9762092001195991,0.9244085401038661,rfc,count
0.2430757905918622,0.9246495327102804,0.9256292906178489,0.9266895761741123,0.9771143850681345,0.9261591299370349,rfc,tfidf
0.4417969409227262,0.7891355140186916,0.7776572668112798,0.8213058419243986,0.8807859135200226,0.7988857938718662,rfc,word2vec
5.870912204870864,0.8300233644859814,0.7704460966542751,0.9495990836197021,0.8273301685992297,0.8506926629040533,gnb,count
5.407007471888618,0.8434579439252337,0.7968596663395485,0.9301260022909508,0.8424432074948768,0.8583509513742071,gnb,tfidf
17.09359404870739,0.5046728971962616,0.5073399882560188,0.9896907216494846,0.49427262313860254,0.6708074534161491,gnb,word2vec
0.29690176846817484,0.9188084112149533,0.9179954441913439,0.9232531500572738,0.9766454091558844,0.9206167904054827,mnb,count
0.23928904809334692,0.9141355140186916,0.8861702127659574,0.9541809851088202,0.9788394245590466,0.918918918918919,mnb,tfidf
11.650118513946104,0.6606308411214953,0.7433333333333333,0.5108820160366552,0.7049445215831317,0.6055668703326544,mnb,word2vec
2.703422432894286,0.9217289719626168,0.9119286510590858,0.9369988545246277,0.9214195702897273,0.9242937853107344,PAC,count
2.3806277948652435,0.9310747663551402,0.9180509413067552,0.9495990836197021,0.9306994226203398,0.9335585585585586,PAC,tfidf
14.505712632392452,0.5800233644859814,0.5667244367417678,0.7491408934707904,0.5765966684278863,0.6452886038480512,PAC,word2vec
0.597244381904602,0.7038551568984985,0.7231707572937012,0.6792668700218201,0.7463898658752441,0.700531599025167,BiLSTM,count
0.6609972715377808,0.5987149477005005,0.5741626620292664,0.8247422575950623,0.6643367409706116,0.6770098574476019,BiLSTM,tfidf
